Entry,Reviewed,Entry Name,Protein names,Gene Names,Organism,Length,Lipidation
Q9JJ69,reviewed,KCIP2_MOUSE,Kv channel-interacting protein 2 (KChIP2) (A-type potassium channel modulatory protein 2) (Potassium channel-interacting protein 2),Kcnip2 Kchip2,Mus musculus (Mouse),270,"LIPID 45; /note=""S-palmitoyl cysteine""; /evidence=""ECO:0000250|UniProtKB:Q9JM59""; LIPID 46; /note=""S-palmitoyl cysteine""; /evidence=""ECO:0000250|UniProtKB:Q9JM59"""
Q9JJT2,reviewed,GFRA4_MOUSE,GDNF family receptor alpha-4 (GDNF receptor alpha-4) (GDNFR-alpha-4) (GFR-alpha-4) (Persephin receptor),Gfra4,Mus musculus (Mouse),260,"LIPID 237; /note=""GPI-anchor amidated threonine""; /evidence=""ECO:0000255"""
Q9JJY3,reviewed,NSMA2_MOUSE,Sphingomyelin phosphodiesterase 3 (EC 3.1.4.12) (Neutral sphingomyelinase 2) (nSMase-2) (nSMase2) (Neutral sphingomyelinase II),Smpd3,Mus musculus (Mouse),655,"LIPID 53; /note=""S-palmitoyl cysteine""; /evidence=""ECO:0000269|PubMed:17272284""; LIPID 54; /note=""S-palmitoyl cysteine""; /evidence=""ECO:0000269|PubMed:17272284""; LIPID 59; /note=""S-palmitoyl cysteine""; /evidence=""ECO:0000269|PubMed:17272284""; LIPID 395; /note=""S-palmitoyl cysteine""; /evidence=""ECO:0000269|PubMed:17272284""; LIPID 396; /note=""S-palmitoyl cysteine""; /evidence=""ECO:0000269|PubMed:17272284"""
Q9JKL5,reviewed,CHP3_MOUSE,Calcineurin B homologous protein 3 (Tescalcin) (TE-1) (TSC),Tesc Chp3,Mus musculus (Mouse),214,"LIPID 2; /note=""N-myristoyl glycine""; /evidence=""ECO:0000250|UniProtKB:Q96BS2"""
Q9JL06,reviewed,LPAR2_MOUSE,Lysophosphatidic acid receptor 2 (LPA receptor 2) (LPA-2) (Lysophosphatidic acid receptor Edg-4),Lpar2 Edg4 Lpa2,Mus musculus (Mouse),348,"LIPID 308; /note=""S-palmitoyl cysteine""; /evidence=""ECO:0000250"""
Q9JL26,reviewed,FMNL1_MOUSE,Formin-like protein 1 (Formin-related protein),Fmnl1 Frl Frl1,Mus musculus (Mouse),1094,"LIPID 2; /note=""N-myristoyl glycine""; /evidence=""ECO:0000250|UniProtKB:O95466"""
Q9JLK4,reviewed,CABP2_MOUSE,Calcium-binding protein 2 (CaBP2),Cabp2,Mus musculus (Mouse),216,"LIPID 2; /note=""N-myristoyl glycine""; /evidence=""ECO:0000250"""
Q9JLK7,reviewed,CABP1_MOUSE,Calcium-binding protein 1 (CaBP1),Cabp1,Mus musculus (Mouse),227,"LIPID 2; /note=""N-myristoyl glycine""; /evidence=""ECO:0000250|UniProtKB:Q9NZU7""; LIPID 4; /note=""S-palmitoyl cysteine""; /evidence=""ECO:0000250|UniProtKB:Q9NZU7""; LIPID Q9JLK7-2:2; /note=""N-myristoyl glycine""; /evidence=""ECO:0000305""; LIPID Q9JLK7-2:4; /note=""S-palmitoyl cysteine""; /evidence=""ECO:0000305"""
Q9JMB8,reviewed,CNTN6_MOUSE,Contactin-6 (Neural recognition molecule NB-3) (mNB-3),Cntn6,Mus musculus (Mouse),1028,"LIPID 999; /note=""GPI-anchor amidated serine""; /evidence=""ECO:0000255"""
Q9JMI7,reviewed,TX101_MOUSE,Testis-expressed protein 101 (TES101-reactive protein) (TES101RP),Tex101,Mus musculus (Mouse),250,"LIPID 224; /note=""GPI-anchor amidated glycine""; /evidence=""ECO:0000255"""
Q9QUG3,reviewed,PRND_MOUSE,Prion-like protein doppel (Doppelganger) (Dpl) (PrPLP),Prnd,Mus musculus (Mouse),179,"LIPID 155; /note=""GPI-anchor amidated glycine""; /evidence=""ECO:0000305|PubMed:10842180"""
Q9QUI0,reviewed,RHOA_MOUSE,Transforming protein RhoA (EC 3.6.5.2),Rhoa Arha Arha2,Mus musculus (Mouse),193,"LIPID 190; /note=""S-geranylgeranyl cysteine""; /evidence=""ECO:0000250|UniProtKB:P61585"""
Q9QUR8,reviewed,SEM7A_MOUSE,Semaphorin-7A (Semaphorin-K1) (Sema K1) (Semaphorin-L) (Sema L) (CD antigen CD108),Sema7a Cd108 Semal Semk1,Mus musculus (Mouse),664,"LIPID 646; /note=""GPI-anchor amidated alanine""; /evidence=""ECO:0000255"""
Q9QXT8,reviewed,CSEN_MOUSE,Calsenilin (A-type potassium channel modulatory protein 3) (DRE-antagonist modulator) (DREAM) (Kv channel-interacting protein 3) (KChIP3),Kcnip3 Csen Dream Kchip3,Mus musculus (Mouse),256,"LIPID 45; /note=""S-palmitoyl cysteine""; /evidence=""ECO:0000250""; LIPID 46; /note=""S-palmitoyl cysteine""; /evidence=""ECO:0000250"""
Q9QYI5,reviewed,DNJB2_MOUSE,DnaJ homolog subfamily B member 2 (DnaJ homolog subfamily B member 10) (mDj8),Dnajb2 Dnajb10,Mus musculus (Mouse),324,"LIPID 321; /note=""S-geranylgeranyl cysteine""; /evidence=""ECO:0000250|UniProtKB:P25686"""
Q9QYK7,reviewed,RNF11_MOUSE,RING finger protein 11 (NEDD4 WW domain-binding protein 2) (Sid 1669),Rnf11 N4wbp2 Sid1669,Mus musculus (Mouse),154,"LIPID 2; /note=""N-myristoyl glycine""; /evidence=""ECO:0000250""; LIPID 4; /note=""S-palmitoyl cysteine""; /evidence=""ECO:0000250"""
Q9QYM5,reviewed,RND2_MOUSE,Rho-related GTP-binding protein RhoN (Rho family GTPase 2) (Rho-related GTP-binding protein Rho7) (Rnd2),Rnd2 Arhn Rho7 Rhon,Mus musculus (Mouse),227,"LIPID 224; /note=""S-geranylgeranyl cysteine""; /evidence=""ECO:0000250"""
Q9QZ85,reviewed,IIGP1_MOUSE,Interferon-inducible GTPase 1 (EC 3.6.5.-),Iigp1 Irga6,Mus musculus (Mouse),413,"LIPID 2; /note=""N-myristoyl glycine""; /evidence=""ECO:0000305"""
Q9QZF2,reviewed,GPC1_MOUSE,Glypican-1 [Cleaved into: Secreted glypican-1],Gpc1,Mus musculus (Mouse),557,"LIPID 529; /note=""GPI-anchor amidated serine""; /evidence=""ECO:0000255"""
Q9QZI8,reviewed,SERC1_MOUSE,Serine incorporator 1 (Axotomy-induced glyco/Golgi protein 2) (Membrane protein TMS-2) (Tumor differentially expressed protein 1-like) (Tumor differentially expressed protein 2),Serinc1 Aigp2 Tde1l Tde2 Tms2,Mus musculus (Mouse),453,"LIPID 2; /note=""N-myristoyl glycine""; /evidence=""ECO:0000250|UniProtKB:Q9NRX5"""
Q9R078,reviewed,AAKB1_MOUSE,5'-AMP-activated protein kinase subunit beta-1 (AMPK subunit beta-1) (AMPKb),Prkab1,Mus musculus (Mouse),270,"LIPID 2; /note=""N-myristoyl glycine""; /evidence=""ECO:0000250"""
Q9R0M6,reviewed,RAB9A_MOUSE,Ras-related protein Rab-9A (Sid 99),Rab9a Rab9 Sid99,Mus musculus (Mouse),201,"LIPID 200; /note=""S-geranylgeranyl cysteine""; /evidence=""ECO:0000250""; LIPID 201; /note=""S-geranylgeranyl cysteine""; /evidence=""ECO:0000250"""
Q9R0P9,reviewed,UCHL1_MOUSE,Ubiquitin carboxyl-terminal hydrolase isozyme L1 (UCH-L1) (EC 3.4.19.12) (Neuron cytoplasmic protein 9.5) (PGP 9.5) (PGP9.5) (Ubiquitin thioesterase L1),Uchl1,Mus musculus (Mouse),223,"LIPID 220; /note=""S-farnesyl cysteine""; /evidence=""ECO:0000250|UniProtKB:P09936"""
Q9R0R1,reviewed,TRFM_MOUSE,Melanotransferrin (Membrane-bound transferrin-like protein p97) (MTf) (CD antigen CD228),Meltf Mfi2 Mtf,Mus musculus (Mouse),738,"LIPID 709; /note=""GPI-anchor amidated cysteine""; /evidence=""ECO:0000255"""
Q9R0S3,reviewed,MMP17_MOUSE,Matrix metalloproteinase-17 (MMP-17) (EC 3.4.24.-) (Membrane-type matrix metalloproteinase 4) (MT-MMP 4) (MTMMP4) (Membrane-type-4 matrix metalloproteinase) (MT4-MMP) (MT4MMP),Mmp17 Mt4mmp,Mus musculus (Mouse),578,"LIPID 558; /note=""GPI-anchor amidated serine""; /evidence=""ECO:0000255"""
Q9R0X5,reviewed,RPGR_MOUSE,X-linked retinitis pigmentosa GTPase regulator (mRpgr),Rpgr,Mus musculus (Mouse),1001,"LIPID 998; /note=""S-geranylgeranyl cysteine""; /evidence=""ECO:0000303|PubMed:9677393"""
Q9WTK7,reviewed,STK11_MOUSE,Serine/threonine-protein kinase STK11 (EC 2.7.11.1) (Liver kinase B1 homolog) (LKB1) (mLKB1),Stk11 Lkb1,Mus musculus (Mouse),436,"LIPID 422; /note=""S-palmitoyl cysteine""; /evidence=""ECO:0000269|PubMed:10642527""; LIPID 433; /note=""S-farnesyl cysteine""; /evidence=""ECO:0000269|PubMed:10642527, ECO:0000269|PubMed:11297520, ECO:0000269|PubMed:11853558"""
Q9WTL7,reviewed,LYPA2_MOUSE,Acyl-protein thioesterase 2 (APT-2) (EC 3.1.2.-) (Lysophospholipase 2) (Lysophospholipase II) (LPL-II) (LysoPLA II) (mLyso II) (Palmitoyl-protein hydrolase) (EC 3.1.2.22),Lypla2,Mus musculus (Mouse),231,"LIPID 2; /note=""S-palmitoyl cysteine""; /evidence=""ECO:0000250|UniProtKB:O95372"""
Q9WTQ5,reviewed,AKA12_MOUSE,A-kinase anchor protein 12 (AKAP-12) (Germ cell lineage protein gercelin) (Src-suppressed C kinase substrate) (SSeCKS),Akap12 Gag12 Ssecks,Mus musculus (Mouse),1684,"LIPID 2; /note=""N-myristoyl glycine""; /evidence=""ECO:0000250|UniProtKB:Q02952"""
Q9WTR5,reviewed,CAD13_MOUSE,Cadherin-13 (Heart cadherin) (H-cadherin) (Truncated cadherin) (T-cad) (T-cadherin),Cdh13,Mus musculus (Mouse),714,"LIPID 693; /note=""GPI-anchor amidated glycine""; /evidence=""ECO:0000255"""
Q9WUC3,reviewed,LY6H_MOUSE,Lymphocyte antigen 6H (Ly-6H),Ly6h,Mus musculus (Mouse),139,"LIPID 110; /note=""GPI-anchor amidated asparagine""; /evidence=""ECO:0000255"""
Q9WUD6,reviewed,WNT8B_MOUSE,Protein Wnt-8b,Wnt8b,Mus musculus (Mouse),350,"LIPID 185; /note=""O-palmitoleoyl serine""; /evidence=""ECO:0000250|UniProtKB:P28026"""
Q9WUK7,reviewed,OPN3_MOUSE,Opsin-3 (Encephalopsin) (Panopsin),Opn3 Ecpn,Mus musculus (Mouse),400,"LIPID 323; /note=""S-palmitoyl cysteine""; /evidence=""ECO:0000250"""
Q9WUL7,reviewed,ARL3_MOUSE,ADP-ribosylation factor-like protein 3,Arl3,Mus musculus (Mouse),182,"LIPID 2; /note=""N-myristoyl glycine""; /evidence=""ECO:0000255"""
Q9WVF8,reviewed,TUSC2_MOUSE,Tumor suppressor candidate 2 (Fusion 1 protein) (Fus-1 protein) (PDGFA-associated protein 2),Tusc2 Fus1 Lgcc Pdap2,Mus musculus (Mouse),110,"LIPID 2; /note=""N-myristoyl glycine""; /evidence=""ECO:0000250"""
Q9WVL4,reviewed,GRK1_MOUSE,Rhodopsin kinase GRK1 (RK) (EC 2.7.11.14) (G protein-coupled receptor kinase 1),Grk1 Rhok,Mus musculus (Mouse),564,"LIPID 561; /note=""S-farnesyl cysteine""; /evidence=""ECO:0000250|UniProtKB:P28327"""
Q9Z0E0,reviewed,NCDN_MOUSE,Neurochondrin (M-Sema F-associating protein of 75 kDa) (Norbin),Ncdn Kiaa0607 Sfap75,Mus musculus (Mouse),729,"LIPID 3; /note=""S-palmitoyl cysteine""; /evidence=""ECO:0000250|UniProtKB:O35095""; LIPID 4; /note=""S-palmitoyl cysteine""; /evidence=""ECO:0000250|UniProtKB:O35095"""
Q9Z0E6,reviewed,GBP2_MOUSE,Guanylate-binding protein 2 (EC 3.6.5.-) (GTP-binding protein 2) (GBP-2) (mGBP-2) (mGBP2) (Guanine nucleotide-binding protein 2) (Interferon-induced guanylate-binding protein 2),Gbp2,Mus musculus (Mouse),589,"LIPID 586; /note=""S-geranylgeranyl cysteine""; /evidence=""ECO:0000269|PubMed:9858320"""
Q9Z0F4,reviewed,CIB1_MOUSE,Calcium and integrin-binding protein 1 (CIB) (Calmyrin) (DNA-PKcs-interacting protein) (Kinase-interacting protein) (KIP),Cib1 Cib Kip Prkdcip,Mus musculus (Mouse),191,"LIPID 2; /note=""N-myristoyl glycine""; /evidence=""ECO:0000250"""
Q9Z0J1,reviewed,RECK_MOUSE,Reversion-inducing cysteine-rich protein with Kazal motifs (mRECK),Reck,Mus musculus (Mouse),971,"LIPID 942; /note=""GPI-anchor amidated serine""; /evidence=""ECO:0000255"""
Q9Z0K8,reviewed,VNN1_MOUSE,Pantetheinase (EC 3.5.1.92) (Pantetheine hydrolase) (Vascular non-inflammatory molecule 1) (Vanin-1),Vnn1,Mus musculus (Mouse),512,"LIPID 488; /note=""GPI-anchor amidated asparagine""; /evidence=""ECO:0000255"""
Q9Z0P4,reviewed,PALM_MOUSE,Paralemmin-1 (Paralemmin),Palm,Mus musculus (Mouse),383,"LIPID 377; /note=""S-palmitoyl cysteine""; /evidence=""ECO:0000255""; LIPID 379; /note=""S-palmitoyl cysteine""; /evidence=""ECO:0000255""; LIPID 380; /note=""S-farnesyl cysteine""; /evidence=""ECO:0000255"""
Q9Z1B3,reviewed,PLCB1_MOUSE,"1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase beta-1 (EC 3.1.4.11) (PLC-154) (Phosphoinositide phospholipase C-beta-1) (Phospholipase C-beta-1) (PLC-beta-1)",Plcb1 Plcb,Mus musculus (Mouse),1216,"LIPID 17; /note=""S-palmitoyl cysteine""; /evidence=""ECO:0000269|PubMed:27653213"""
Q9Z1Q3,reviewed,LY66D_MOUSE,Lymphocyte antigen 6 complex locus protein G6d,Ly6g6d Ng25,Mus musculus (Mouse),135,"LIPID 108; /note=""GPI-anchor amidated asparagine""; /evidence=""ECO:0000255"""
Q9Z239,reviewed,PLM_MOUSE,Phospholemman (FXYD domain-containing ion transport regulator 1) (Sodium/potassium-transporting ATPase subunit FXYD1),Fxyd1 Plm,Mus musculus (Mouse),92,"LIPID 60; /note=""S-palmitoyl cysteine""; /evidence=""ECO:0000250|UniProtKB:O00168""; LIPID 62; /note=""S-palmitoyl cysteine; alternate""; /evidence=""ECO:0000250|UniProtKB:O00168"""
Q9Z280,reviewed,PLD1_MOUSE,Phospholipase D1 (PLD 1) (mPLD1) (EC 3.1.4.4) (Choline phosphatase 1) (Phosphatidylcholine-hydrolyzing phospholipase D1),Pld1,Mus musculus (Mouse),1074,"LIPID 240; /note=""S-palmitoyl cysteine""; /evidence=""ECO:0000250""; LIPID 241; /note=""S-palmitoyl cysteine""; /evidence=""ECO:0000250"""
Q9Z2W8,reviewed,GRIA4_MOUSE,"Glutamate receptor 4 (GluR-4) (GluR4) (AMPA-selective glutamate receptor 4) (GluR-D) (Glutamate receptor ionotropic, AMPA 4) (GluA4)",Gria4 Glur4,Mus musculus (Mouse),902,"LIPID 611; /note=""S-palmitoyl cysteine""; /evidence=""ECO:0000250""; LIPID 837; /note=""S-palmitoyl cysteine""; /evidence=""ECO:0000269|PubMed:16129400"""
Q9Z2W9,reviewed,GRIA3_MOUSE,"Glutamate receptor 3 (GluR-3) (AMPA-selective glutamate receptor 3) (GluR-C) (GluR-K3) (Glutamate receptor ionotropic, AMPA 3) (GluA3)",Gria3 Glur3 Kiaa4184,Mus musculus (Mouse),888,"LIPID 615; /note=""S-palmitoyl cysteine""; /evidence=""ECO:0000250""; LIPID 841; /note=""S-palmitoyl cysteine""; /evidence=""ECO:0000269|PubMed:16129400"""
A2APV2,reviewed,FMNL2_MOUSE,Formin-like protein 2 (Protein Man),Fmnl2 Kiaa1902 Man,Mus musculus (Mouse),1086,"LIPID 2; /note=""N-myristoyl glycine""; /evidence=""ECO:0000250"""
A2AU72,reviewed,ARMC3_MOUSE,Armadillo repeat-containing protein 3,Armc3,Mus musculus (Mouse),881,"LIPID 507; /note=""S-palmitoyl cysteine""; /evidence=""ECO:0000269|PubMed:34428398""; LIPID 518; /note=""S-palmitoyl cysteine""; /evidence=""ECO:0000269|PubMed:34428398"""
B1AVD1,reviewed,XPP2_MOUSE,Xaa-Pro aminopeptidase 2 (EC 3.4.11.9) (Membrane-bound aminopeptidase P) (Membrane-bound APP) (mAPP) (X-prolyl aminopeptidase 2),Xpnpep2,Mus musculus (Mouse),674,"LIPID 650; /note=""GPI-anchor amidated alanine""; /evidence=""ECO:0000250|UniProtKB:Q95333"""
B1B213,reviewed,H60C_MOUSE,Histocompatibility antigen 60c,H60c,Mus musculus (Mouse),197,"LIPID 177; /note=""GPI-anchor amidated serine""; /evidence=""ECO:0000255"""
B2RQA1,reviewed,KCA10_MOUSE,Potassium voltage-gated channel subfamily A member 10 (Voltage-gated potassium channel subunit Kv1.8),Kcna10,Mus musculus (Mouse),511,"LIPID 293; /note=""S-palmitoyl cysteine""; /evidence=""ECO:0000250|UniProtKB:Q09470"""
F8VPZ3,reviewed,UBP32_MOUSE,Ubiquitin carboxyl-terminal hydrolase 32 (EC 3.4.19.12) (Deubiquitinating enzyme 32) (Ubiquitin thioesterase 32) (Ubiquitin-specific-processing protease 32),Usp32,Mus musculus (Mouse),1604,"LIPID 1601; /note=""S-farnesyl cysteine""; /evidence=""ECO:0000255"""
O08542,reviewed,EFNA4_MOUSE,Ephrin-A4 (EPH-related receptor tyrosine kinase ligand 4) (LERK-4),Efna4 Epl4 Eplg4 Lerk4,Mus musculus (Mouse),206,"LIPID 175; /note=""GPI-anchor amidated serine""; /evidence=""ECO:0000255"""
O08899,reviewed,RGS4_MOUSE,Regulator of G-protein signaling 4 (RGS4),Rgs4,Mus musculus (Mouse),205,"LIPID 2; /note=""S-palmitoyl cysteine""; /evidence=""ECO:0000250""; LIPID 12; /note=""S-palmitoyl cysteine""; /evidence=""ECO:0000250""; LIPID 95; /note=""S-palmitoyl cysteine""; /evidence=""ECO:0000250"""
O08989,reviewed,RASM_MOUSE,Ras-related protein M-Ras (EC 3.6.5.2) (Muscle and microspikes Ras) (Ras-related protein R-Ras3) (X-Ras),Mras Xras,Mus musculus (Mouse),208,"LIPID 205; /note=""S-geranylgeranyl cysteine""; /evidence=""ECO:0000250"""
O35566,reviewed,CD151_MOUSE,CD151 antigen (GP27) (Membrane glycoprotein SFA-1) (Platelet-endothelial tetraspan antigen 3) (PETA-3) (CD antigen CD151),Cd151 Peta3,Mus musculus (Mouse),253,"LIPID 11; /note=""S-palmitoyl cysteine""; /evidence=""ECO:0000250|UniProtKB:P48509""; LIPID 15; /note=""S-palmitoyl cysteine""; /evidence=""ECO:0000250|UniProtKB:P48509""; LIPID 242; /note=""S-palmitoyl cysteine""; /evidence=""ECO:0000250|UniProtKB:P48509""; LIPID 243; /note=""S-palmitoyl cysteine""; /evidence=""ECO:0000250|UniProtKB:P48509"""
O88853,reviewed,GALR3_MOUSE,Galanin receptor type 3 (GAL3-R) (GALR-3),Galr3 Galnr3,Mus musculus (Mouse),370,"LIPID 308; /note=""S-palmitoyl cysteine""; /evidence=""ECO:0000250"""
P21841,reviewed,PSPC_MOUSE,Pulmonary surfactant-associated protein C (SP-C) (Pulmonary surfactant-associated proteolipid SPL(Val)) (SP5),Sftpc Sftp2,Mus musculus (Mouse),193,"LIPID 28; /note=""S-palmitoyl cysteine""; /evidence=""ECO:0000250""; LIPID 29; /note=""S-palmitoyl cysteine""; /evidence=""ECO:0000250"""
P35295,reviewed,RAB20_MOUSE,Ras-related protein Rab-20,Rab20,Mus musculus (Mouse),233,"LIPID 231; /note=""S-geranylgeranyl cysteine""; /evidence=""ECO:0000250""; LIPID 232; /note=""S-geranylgeranyl cysteine""; /evidence=""ECO:0000250"""
P35412,reviewed,GPR12_MOUSE,G-protein coupled receptor 12 (GPCR01),Gpr12 Gpcr12,Mus musculus (Mouse),334,"LIPID 317; /note=""S-palmitoyl cysteine""; /evidence=""ECO:0000250"""
P35459,reviewed,LY6D_MOUSE,Lymphocyte antigen 6D (Ly-6D) (Thymocyte B-cell antigen) (ThB),Ly6d Ly61 Thb,Mus musculus (Mouse),127,"LIPID 98; /note=""GPI-anchor amidated serine""; /evidence=""ECO:0000255"""
P49660,reviewed,SSR4_MOUSE,Somatostatin receptor type 4 (SS-4-R) (SS4-R) (SS4R),Sstr4 Smstr4,Mus musculus (Mouse),385,"LIPID 324; /note=""S-palmitoyl cysteine""; /evidence=""ECO:0000255"""
P50283,reviewed,CD7_MOUSE,T-cell antigen CD7 (CD antigen CD7),Cd7,Mus musculus (Mouse),210,"LIPID 168; /note=""S-palmitoyl cysteine""; /evidence=""ECO:0000250"""
P53702,reviewed,CCHL_MOUSE,Holocytochrome c-type synthase (EC 4.4.1.17) (Cytochrome c-type heme lyase) (CCHL),Hccs Cchl,Mus musculus (Mouse),272,"LIPID 2; /note=""N-myristoyl glycine""; /evidence=""ECO:0000250|UniProtKB:P53701"""
P56479,reviewed,GALR1_MOUSE,Galanin receptor type 1 (GAL1-R) (GALR-1),Galr1 Galnr Galnr1,Mus musculus (Mouse),348,"LIPID 319; /note=""S-palmitoyl cysteine""; /evidence=""ECO:0000250"""
P58196,reviewed,PLS4_MOUSE,Phospholipid scramblase 4 (PL scramblase 4) (Ca(2+)-dependent phospholipid scramblase 4),Plscr4,Mus musculus (Mouse),326,"LIPID 193; /note=""S-palmitoyl cysteine""; /evidence=""ECO:0000250|UniProtKB:O15162""; LIPID 194; /note=""S-palmitoyl cysteine""; /evidence=""ECO:0000250|UniProtKB:O15162""; LIPID 195; /note=""S-palmitoyl cysteine""; /evidence=""ECO:0000250|UniProtKB:O15162""; LIPID 197; /note=""S-palmitoyl cysteine""; /evidence=""ECO:0000250|UniProtKB:O15162""; LIPID 198; /note=""S-palmitoyl cysteine""; /evidence=""ECO:0000250|UniProtKB:O15162"""
P61205,reviewed,ARF3_MOUSE,ADP-ribosylation factor 3,Arf3,Mus musculus (Mouse),181,"LIPID 2; /note=""N-myristoyl glycine""; /evidence=""ECO:0000255"""
P61211,reviewed,ARL1_MOUSE,ADP-ribosylation factor-like protein 1,Arl1,Mus musculus (Mouse),181,"LIPID 2; /note=""N-myristoyl glycine""; /evidence=""ECO:0000250|UniProtKB:P40616"""
P61213,reviewed,ARL4A_MOUSE,ADP-ribosylation factor-like protein 4A,Arl4a Arl4,Mus musculus (Mouse),200,"LIPID 2; /note=""N-myristoyl glycine""; /evidence=""ECO:0000255"""
P62761,reviewed,VISL1_MOUSE,Visinin-like protein 1 (VILIP) (Neural visinin-like protein 1) (NVL-1) (NVP-1),Vsnl1 Visl1,Mus musculus (Mouse),191,"LIPID 2; /note=""N-myristoyl glycine""; /evidence=""ECO:0000250"""
P63078,reviewed,GBG8_MOUSE,Guanine nucleotide-binding protein G(I)/G(S)/G(O) subunit gamma-8 (Gamma-9),Gng8 Gng9 Gngt9,Mus musculus (Mouse),70,"LIPID 67; /note=""S-geranylgeranyl cysteine""; /evidence=""ECO:0000250"""
P63213,reviewed,GBG2_MOUSE,Guanine nucleotide-binding protein G(I)/G(S)/G(O) subunit gamma-2 (G gamma-I),Gng2,Mus musculus (Mouse),71,"LIPID 68; /note=""S-geranylgeranyl cysteine""; /evidence=""ECO:0000250|UniProtKB:P63212"""
P63216,reviewed,GBG3_MOUSE,Guanine nucleotide-binding protein G(I)/G(S)/G(O) subunit gamma-3,Gng3 Gngt3,Mus musculus (Mouse),75,"LIPID 72; /note=""S-geranylgeranyl cysteine""; /evidence=""ECO:0000250"""
Q05685,reviewed,FOLR2_MOUSE,Folate receptor beta (FR-beta) (Folate receptor 2) (Folate-binding protein 2),Folr2 Fbp2 Folbp2,Mus musculus (Mouse),251,"LIPID 227; /note=""GPI-anchor amidated serine""; /evidence=""ECO:0000250|UniProtKB:P14207, ECO:0000255"""
Q07409,reviewed,CNTN3_MOUSE,Contactin-3 (Brain-derived immunoglobulin superfamily protein 1) (BIG-1) (Plasmacytoma-associated neuronal glycoprotein),Cntn3 Pang Pcs,Mus musculus (Mouse),1028,"LIPID 1002; /note=""GPI-anchor amidated serine""; /evidence=""ECO:0000255"""
Q17ST2,reviewed,KCNA7_MOUSE,Potassium voltage-gated channel subfamily A member 7 (Voltage-gated potassium channel subunit Kv1.7),Kcna7 Kcnc7,Mus musculus (Mouse),489,"LIPID 264; /note=""S-palmitoyl cysteine""; /evidence=""ECO:0000255"""
Q3UZP4,reviewed,SVIP_MOUSE,Small VCP/p97-interacting protein,Svip,Mus musculus (Mouse),77,"LIPID 2; /note=""N-myristoyl glycine""; /evidence=""ECO:0000250|UniProtKB:Q8NHG7"""
Q504M8,reviewed,RAB26_MOUSE,Ras-related protein Rab-26,Rab26,Mus musculus (Mouse),260,"LIPID 257; /note=""S-geranylgeranyl cysteine""; /evidence=""ECO:0000250""; LIPID 258; /note=""S-geranylgeranyl cysteine""; /evidence=""ECO:0000250"""
Q61041,reviewed,NPY4R_MOUSE,Neuropeptide Y receptor type 4 (NPY4-R) (NPYR-D) (Pancreatic polypeptide receptor 1) (PP1),Npy4r Ppyr1,Mus musculus (Mouse),375,"LIPID 340; /note=""S-palmitoyl cysteine""; /evidence=""ECO:0000255"""
Q61212,reviewed,NPY6R_MOUSE,Neuropeptide Y receptor type 6 (NPY6-R) (Pancreatic polypeptide receptor 2) (PP2),Npy6r Npy5r Ppyr2 Y2b,Mus musculus (Mouse),371,"LIPID 336; /note=""S-palmitoyl cysteine""; /evidence=""ECO:0000255"""
Q61923,reviewed,KCNA6_MOUSE,Potassium voltage-gated channel subfamily A member 6 (MK1.6) (Voltage-gated potassium channel subunit Kv1.6),Kcna6,Mus musculus (Mouse),529,"LIPID 285; /note=""S-palmitoyl cysteine""; /evidence=""ECO:0000255"""
Q64326,reviewed,ACTHR_MOUSE,Adrenocorticotropic hormone receptor (ACTH receptor) (ACTH-R) (Adrenocorticotropin receptor) (Melanocortin receptor 2) (MC2-R),Mc2r Acthr,Mus musculus (Mouse),296,"LIPID 293; /note=""S-palmitoyl cysteine""; /evidence=""ECO:0000255"""
Q64389,reviewed,CD52_MOUSE,CAMPATH-1 antigen (Lymphocyte differentiation antigen B7) (CD antigen CD52),Cd52 Cdw52 Mb7,Mus musculus (Mouse),74,"LIPID 47; /note=""GPI-anchor amidated serine""; /evidence=""ECO:0000255"""
Q6YNI2,reviewed,GPR6_MOUSE,G-protein coupled receptor 6 (Sphingosine 1-phosphate receptor GPR6),Gpr6 Gm233,Mus musculus (Mouse),363,"LIPID 346; /note=""S-palmitoyl cysteine""; /evidence=""ECO:0000250"""
Q80SZ7,reviewed,GBG5_MOUSE,Guanine nucleotide-binding protein G(I)/G(S)/G(O) subunit gamma-5,Gng5 Gngt5,Mus musculus (Mouse),68,"LIPID 65; /note=""S-geranylgeranyl cysteine""; /evidence=""ECO:0000250"""
Q80TL4,reviewed,PHF24_MOUSE,PHD finger protein 24,Phf24 Kiaa1045 N28178,Mus musculus (Mouse),400,"LIPID 2; /note=""N-myristoyl glycine""; /evidence=""ECO:0000250"""
Q80V42,reviewed,CBPM_MOUSE,Carboxypeptidase M (CPM) (EC 3.4.17.12),Cpm,Mus musculus (Mouse),443,"LIPID 423; /note=""GPI-anchor amidated serine""; /evidence=""ECO:0000250"""
Q8BGW6,reviewed,ST32A_MOUSE,Serine/threonine-protein kinase 32A (EC 2.7.11.1),Stk32a,Mus musculus (Mouse),398,"LIPID 2; /note=""N-myristoyl glycine""; /evidence=""ECO:0000250|UniProtKB:Q8WU08"""
